product_name,product_thumbnail,product_price,brand_id,category_id,discount_id,product_quantity,desc 
iPhone 13 Pro Max 128GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_13-_pro-5_4.jpg,29190000,1,1,8,8,"ĐẶC ĐIỂM NỔI BẬT Hiệu năng vượt trội - Chip Apple A15 Bionic mạnh mẽ; hỗ trợ mạng 5G tốc độ cao Không gian hiển thị sống động - Màn hình 6.7"" Super Retina XDR độ sáng cao; sắc nét Trải nghiệm điện ảnh đỉnh cao - Cụm 3 camera kép 12MP; hỗ trợ ổn định hình ảnh quang học Tối ưu điện năng - Sạc nhanh 20 W; đầy 50% pin trong khoảng 30 phút.Đánh giá iPhone 13 Pro Max – Hiệu năng vô đối; camera cực đỉnh iPhone 12 ra mắt cách đây chưa lâu; thì những tin đồn mới nhất về iPhone 13 Pro Max đã khiến bao tín đồ công nghệ ngóng chờ. Cụm camera được nâng cấp; màu sắc mới; đặc biệt là màn hình 120Hz với phần notch được làm nhỏ gọn hơn chính là những điểm làm cho thu hút mọi sự chú ý trong năm nay. Thiết kế cạnh phẳng sang trọng; nhiều màu sắc nổi bật Dòng iPhone 12 được Apple áp dụng ngôn ngữ thiết kế tương tự iPhone 12 năm ngoái với phần cạnh viền máy được dát phẳng sang trọng cùng bốn góc được làm bo cong nhẹ; đây có thể được xem là một thiết kế hoài cổ từ dòng iPhone 5 trước đó. Vì thế mà iPhone 13 Pro Max nói riêng; cũng như dòng điện thoại iPhone 13 nói chung; cũng sẽ đi theo ngôn ngữ thiết kế này. Điểm thay đổi lớn trên 13 Pro Max có thể là phần nhô của cụm camera. Trong khi đó mặt trước của thiết bị được phủ một lớp Ceramic Shield; loại vật liệu cứng hơn bất kỳ loại kính điện thoại thông minh nào hiện có trên thị trường; giúp bảo vệ màn hình iPhone hiệu quả."
iPhone 13 128GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/ip13-pro_2.jpg,21090000,1,1,6,9,"ĐẶC ĐIỂM NỔI BẬT Hiệu năng vượt trội - Chip Apple A15 Bionic mạnh mẽ; hỗ trợ mạng 5G tốc độ cao Không gian hiển thị sống động - Màn hình 6.1"" Super Retina XDR độ sáng cao; sắc nét Trải nghiệm điện ảnh đỉnh cao - Cụm 3 camera 12MP; hỗ trợ ổn định hình ảnh quang học Tối ưu điện năng - Sạc nhanh 20 W; đầy 50% pin trong khoảng 30 phút"
iPhone 11 64GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_11_white_4_.png,12650000,1,1,5,2,ĐẶC ĐIỂM NỔI BẬT Màu sắc phù hợp cá tính - 6 màu sắc bắt mắt để lựa chọn Hiệu năng mượt mà; ổn định - Chip A13; RAM 4GB Bắt trọn khung hình - Camera kép hỗ trợ góc rộng; chế độ Night Mode Yên tâm sử dụng - Kháng nước; kháng bụi IP68; kính cường lực Gorilla.Thiết kế sang trọng; kế thừa iPhone XR Cụm camera phía sau đã được sắp xếp lại giống với Huawei Mate 20 Pro. Màn hình điện thoại iPhone 11 sở hữu notch rộng dài như các phiên bản tiền nhiệm và giữ nguyên thiết kế như iPhone XR. Notch tích hợp Face ID; loa âm thanh và camera selfie. Tấm nền IPS LCD không có cải tiến về độ sáng và tương phản. Tấm nền được bao bọc bởi lớp kính Gorilla Glass cao cấp; cạnh viền có góc độ cong khá nhỏ. Điện thoại trọng lượng nhẹ; dễ dàng cầm nắm chỉ với 194 gram. Kích thước chi tiết lần lượt là 5.94H x 2.98W x 0.33 D (inch).Màn hình 6.1 inch; công nghệ màn hình HD Retina lỏng Apple ứng dụng công nghệ màn hình HD Retina lỏng cùng màn hình cảm ứng đa điểm LCD kích thước toàn màn hình là 6.1 inch với 326 ppi cho iPhone 11. Màn hình có độ phân giải thực tế là 828x1792 pixel vừa đủ dùng. Bên cạnh đó; công nghệ True Wireless được tích hợp trong khi chuẩn tỉ lệ tương phản video HDR chỉ được hiển thị trên màn hình Oled. Độ trễ màn hình gần như bằng 0; tốc độ làm mới màn hình nằm ở mức 60 Hz. Độ chính xác màu đạt đến mức tối đa; điểm DeltaE trung bình đạt 1.1; độ lệch tối đa 2.4 RGB. Ngay cả khi độ sáng giảm xuống mức 2.3 nit độ chính xác này vẫn được giữ nguyên.
iPhone 11 128GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_11_white.png,14350000,1,1,6,9,ĐẶC ĐIỂM NỔI BẬT Màu sắc phù hợp cá tính - 6 màu sắc bắt mắt để lựa chọn Hiệu năng mượt mà; ổn định - Chip A13; RAM 4GB Bắt trọn khung hình - Camera kép hỗ trợ góc rộng; chế độ Night Mode Yên tâm sử dụng - Kháng nước; kháng bụi IP68; kính cường lực Gorilla Glass
iPhone 13 Pro Max 256GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_13-_pro-5_4_1.jpg,32650000,1,1,6,2,"ĐẶC ĐIỂM NỔI BẬT Hiệu năng vượt trội - Chip Apple A15 Bionic mạnh mẽ; hỗ trợ mạng 5G tốc độ cao Không gian hiển thị sống động - Màn hình 6.7"" Super Retina XDR độ sáng cao; sắc nét Trải nghiệm điện ảnh đỉnh cao - Cụm 3 camera 12MP; hỗ trợ ổn định hình ảnh quang học Tối ưu điện năng - Sạc nhanh 20 W; đầy 50% pin trong khoảng 30 phút iPhone 13 Pro Max 256GB được đánh giá là một trong những dòng iPhone có khả năng chụp ảnh siêu ấn tượng cùng với camera góc siêu rộng mang đến khả năng chụp ảnh thiếu sáng một cách đặc biệt. Không những thế; mà dòng iPhone này còn được đánh giá là có dung lượng bộ nhớ tốt; đáp ứng được đầy đủ các công việc hằng ngày"
iPhone 12 64GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12_2__3.jpg,16990000,1,1,2,5,ĐẶC ĐIỂM NỔI BẬT Mạnh mẽ; siêu nhanh với chip A14; RAM 4GB; mạng 5G tốc độ cao Rực rỡ; sắc nét; độ sáng cao - Màn hình OLED cao cấp; Super Retina XDR hỗ trợ HDR10; Dolby Vision Chụp đêm ấn tượng - Night Mode cho 2 camera; thuật toán Deep Fusion; Smart HDR 3 Bền bỉ vượt trội - Kháng nước; kháng bụi IP68; mặt lưng Ceramic ShieldĐánh giá iPhone 12 - Siêu phẩm khẳng định đẳng cấp Phiên bản iPhone 12 thường sở hữu nhiều điểm mới đặc biệt là về thiết kế và cấu hình so với các thế hệ trước đó. Thiết kế iPhone 12 gây ấn tượng với người dùng bởi thiết kế vuông vức quen thuộc; đây là thiết kế đã từng xuất hiện trên thế hệ iPhone 5 trước đó. Điện thoại được hoàn thiện mỏng hơn với cụm camera lớn hơn. Đặc biệt; máy được trang bị một khung viền thép không gỉ. Mặt lưng điện thoại iPhone 12 được trang bị một mặt kính Ceramic Shield bóng bẩy; gây được sự chú ý của người đối diện. Về kích thước cụ thể; máy có thông số từng cạnh lần lượt là 146.7 x 71.5 x 7.4 mm cùng cân nặng khoảng 164g. Tổng thể; máy khá mỏng nhẹ thích hợp với cả người dùng nam và nữ cũng như thích hợp với nhiều kích thước tay khác nhau.'
iPhone 12 Pro Max 128GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_12_pro_max_white_1.png,27290000,1,1,8,5,ĐẶC ĐIỂM NỔI BẬT Mạnh mẽ; siêu nhanh với chip A14; RAM 6GB; mạng 5G tốc độ cao Rực rỡ; sắc nét; độ sáng cao - Màn hình OLED cao cấp; Super Retina XDR hỗ trợ HDR10; Dolby Vision Chụp ảnh siêu đỉnh - Night Mode ; thuật toán Deep Fusion; Smart HDR 3; camera LiDar Bền bỉ vượt trội - Kháng nước; kháng bụi IP68; mặt lưng Ceramic Shield Điện thoại iPhone 12 Pro Max: Nâng tầm đẳng cấp sử dụng Cứ mỗi năm; đến dạo cuối tháng 8 và gần đầu tháng 9 thì mọi thông tin sôi sục mới về chiếc iPhone mới lại xuất hiện. Apple năm nay lại ra thêm một chiếc iPhone mới với tên gọi mới là iPhone 12 Pro Max; đây là một dòng điện thoại mới và mạnh mẽ nhất của nhà Apple năm nay. Mời bạn tham khảo thêm một số mô tả sản phẩm bên dưới để bạn có thể ra quyết định mua sắm. Màn hình 6.7 inches Super Retina XDR Năm nay; công nghệ màn hình trên 12 Pro Max cũng được đổi mới và trang bị tốt hơn cùng kích thước lên đến 6.7 inch; lớn hơn so với điện thoại iPhone 12 thường. Với công nghệ màn hình OLED cho khả năng hiển thị hình ảnh lên đến 2778 x 1284 pixels. Bên cạnh đó; màn hình này còn cho độ sáng tối đa cao nhất lên đến 800 nits; luôn đảm bảo cho bạn một độ sáng cao và dễ nhìn nhất ngoài nắng.
iPhone 13 Pro 128GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_13-_pro-5.jpg,26990000,1,1,4,9,"ĐẶC ĐIỂM NỔI BẬT Hiệu năng vượt trội - Chip Apple A15 Bionic mạnh mẽ; hỗ trợ mạng 5G tốc độ cao Không gian hiển thị sống động - Màn hình 6.1"" Super Retina XDR độ sáng cao; sắc nét Trải nghiệm điện ảnh đỉnh cao - Cụm 3 camera 12MP; hỗ trợ ổn định hình ảnh quang học Tối ưu điện năng - Sạc nhanh 20 W; đầy 50% pin trong khoảng 30 phútĐánh giá iPhone 13 Pro – Màn hình 120Hz; camera cảm biến lớn hơn iPhone 13 Pro chính là chiếc siêu phẩm được chờ đợi nhất trong năm 2021; hứa hẹn mang đến trải nghiệm đỉnh cao với những công nghệ mới như màn hình 120Hz; chip A15 Bionic; camera cảm biến lớn mang lại ảnh chụp chất lượng hơn. Thiết kế tương tự iPhone 12 Pro; cụm camera đổi mới iPhone 13 Pro không có nhiều sự thay đổi về thiết kế; vẫn sở hữu kiểu dáng tương tự như iPhone 12 Pro với các cạnh viền vuông vắn hơn cùng khung thép không gỉ. Về kích thước; iPhone 13 Pro sẽ dày hơn iPhone 12 Pro khoảng 0.2mm với kích thước 146.7 x 71.5 x 7.6 mm. Cụm camera iPhone 13 Pro cũng sẽ có sự đổi mới; vẫn là cụm camera trên một modul hình vuông nhưng phần lồi sẽ dày hơn với kích thước của cụm camera sẽ tăng lên 29 x 29 mm."
iPhone 12 128GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_12_red.png,18790000,1,1,8,8,Đánh giá iPhone 12 - Siêu phẩm khẳng định đẳng cấp Phiên bản iPhone 12 thường sở hữu nhiều điểm mới đặc biệt là về thiết kế và cấu hình so với các thế hệ trước đó. Thiết kế iPhone 12 gây ấn tượng với người dùng bởi thiết kế vuông vức quen thuộc; đây là thiết kế đã từng xuất hiện trên thế hệ iPhone 5 trước đó. Điện thoại được hoàn thiện mỏng hơn với cụm camera lớn hơn. Đặc biệt; máy được trang bị một khung viền thép không gỉ. Mặt lưng điện thoại iPhone 12 được trang bị một mặt kính Ceramic Shield bóng bẩy; gây được sự chú ý của người đối diện. Về kích thước cụ thể; máy có thông số từng cạnh lần lượt là 146.7 x 71.5 x 7.4 mm cùng cân nặng khoảng 164g. Tổng thể; máy khá mỏng nhẹ thích hợp với cả người dùng nam và nữ cũng như thích hợp với nhiều kích thước tay khác nhau.
iPhone 13 256GB,https://cdn.cellphones.com.vn/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-13-02_2.jpg,23690000,1,1,6,9,"ĐẶC ĐIỂM NỔI BẬT Hiệu năng vượt trội - Chip Apple A15 Bionic mạnh mẽ; hỗ trợ mạng 5G tốc độ cao Không gian hiển thị sống động - Màn hình 6.1"" Super Retina XDR độ sáng cao; sắc nét Trải nghiệm điện ảnh đỉnh cao - Cụm 3 camera 12MP; hỗ trợ ổn định hình ảnh quang học Tối ưu điện năng - Sạc nhanh 20 W; đầy 50% pin trong khoảng 30 phút"
